,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.03%,0.59%,0.28%
2,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
3,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.02%,3.45%,1.04%,1.75%,0.11%
4,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.34%,0.21%,0.04%
5,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,6.09%,5.78%,3.74%
6,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.72%
7,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.00%,0.00%
8,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.04%,0.05%,0.01%
9,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
10,0.19%,3.96%,11.37%,17.28%,3.72%,5.63%,7.86%,0.73%,0.70%,0.11%,0.00%
11,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.66%,2.78%
12,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.59%
13,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.07%
14,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.11%,1.08%,0.78%
15,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%,1.56%
16,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.11%,3.79%,1.41%
17,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.16%,0.35%
18,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%
19,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
20,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.05%
21,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%
22,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
23,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.30%,0.05%
24,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.90%,0.67%,0.30%
25,0.00%,0.70%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
26,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.32%
27,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.07%
28,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.01%
29,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
30,0.00%,0.00%,0.88%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
31,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,1.14%,4.08%,2.02%
32,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.68%,0.73%,0.16%
33,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
34,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%
35,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.13%,0.19%,0.06%,0.00%
36,0.00%,0.00%,0.02%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%
37,2.81%,0.38%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
38,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
39,0.00%,0.00%,0.00%,0.00%,0.14%,0.13%,0.00%,0.00%,0.00%,0.00%,0.00%
40,0.00%,0.00%,0.12%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
41,0.00%,0.00%,0.00%,0.15%,0.00%,0.45%,0.02%,0.00%,0.00%,0.00%,0.00%
42,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.04%,0.01%,0.00%,0.00%,0.00%
43,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.04%,0.00%,0.00%,0.00%
44,0.19%,0.26%,0.00%,0.00%,0.00%,0.26%,0.00%,0.01%,0.02%,0.00%,0.00%
45,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
46,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.01%
47,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.59%,2.72%,0.97%,0.34%
48,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
49,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.46%
50,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,4.28%,4.05%,2.13%
51,0.00%,0.13%,0.05%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
52,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%,0.00%,0.00%
53,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.04%,0.02%,0.00%,0.00%,0.00%
54,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.00%,0.00%
55,0.00%,0.00%,0.14%,0.46%,0.57%,0.26%,0.00%,0.01%,0.01%,0.01%,0.00%
56,0.56%,0.19%,0.23%,4.19%,0.72%,0.26%,0.00%,0.00%,0.00%,0.00%,0.00%
57,0.00%,0.00%,0.00%,0.00%,0.00%,0.06%,0.02%,0.00%,0.00%,0.00%,0.00%
58,0.00%,0.06%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
59,0.00%,0.00%,0.00%,0.08%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
60,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%,0.00%,0.00%
61,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.01%
62,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.01%,0.00%
63,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.02%,0.01%,0.00%,0.01%,0.00%
64,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.56%,0.09%,0.01%,0.01%
65,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.07%
66,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.09%
67,0.00%,0.00%,0.00%,0.00%,4.01%,9.77%,3.46%,1.43%,1.03%,0.00%,0.00%
68,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%,4.08%,1.99%,1.49%
