"Udlæst fra bilstatistik.dk, af Henrik Sejersen, DBI IT A/S, den 24-01-2024 15:07:03",,,,,,,,,,,,,,,,,,,,,,,,,,
Data i denne fil tilhører DBI IT A/S og er udelukkende til intern brug hos DBI IT A/S,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Pr. model,,,,,,,,,,,,,,,,,,,,,,,,,,
Nyregistreringer,,,,,,,,,,,,,,,,,,,,,,,,,,
Periode: Fra 01-01-2013 til 31-12-2023,,,,,,,,,,,,,,,,,,,,,,,,,,
Hele landet,,,,,,,,,,,,,,,,,,,,,,,,,,
Personbiler,,,,,,,,,,,,,,,,,,,,,,,,,,
Drivkraft: El (BEV),,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,2013,,2014,,2015,,2016,,2017,,2018,,2019,,2020,,2021,,2022,,2023,,Total,
Nr.,Mærke,Model,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel,Antal,Andel
,Total for rapport,,534,100.00%,"1,567",100.00%,"4,311",100.00%,"1,314",100.00%,699,100.00%,"1,545",100.00%,"5,520",100.00%,"14,227",100.00%,"24,905",100.00%,"30,821",100.00%,"62,726",100.00%,"148,169",100.00%
1,Aiways,U5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,257,1.03%,183,0.59%,177,0.28%,617,0.42%
2,Aiways,U6,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.00%,3,0.00%
3,Audi,e-tron,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,222,4.02%,491,3.45%,260,1.04%,538,1.75%,68,0.11%,"1,579",1.07%
4,Audi,e-tron GT,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,84,0.34%,64,0.21%,23,0.04%,171,0.12%
5,Audi,Q4 e-tron,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,"1,517",6.09%,"1,780",5.78%,"2,349",3.74%,"5,646",3.81%
6,Audi,Q8 e-tron,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,449,0.72%,449,0.30%
7,Bach,Tria,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.02%,0,0.00%,0,0.00%,5,0.00%
8,Bach,YM2000DP,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.02%,11,0.04%,15,0.05%,5,0.01%,34,0.02%
9,BAW,Pony,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,2,0.00%,2,0.00%
10,BMW,I3,1,0.19%,62,3.96%,490,11.37%,227,17.28%,26,3.72%,87,5.63%,434,7.86%,104,0.73%,174,0.70%,34,0.11%,1,0.00%,"1,640",1.11%
11,BMW,i4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,513,1.66%,"1,741",2.78%,"2,254",1.52%
12,BMW,i5,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,367,0.59%,367,0.25%
13,BMW,I7,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,7,0.02%,42,0.07%,49,0.03%
14,BMW,iX,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,27,0.11%,332,1.08%,492,0.78%,851,0.57%
15,BMW,iX1,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,21,0.07%,977,1.56%,998,0.67%
16,BMW,iX3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,276,1.11%,"1,168",3.79%,886,1.41%,"2,330",1.57%
17,BYD,Atto 3,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,49,0.16%,222,0.35%,271,0.18%
18,BYD,Dolphin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,203,0.32%,203,0.14%
19,BYD,Han,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,3,0.00%,4,0.00%
20,BYD,Seal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,32,0.05%,32,0.02%
21,BYD,Tang,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.02%,5,0.01%,10,0.01%
22,Citroen,AMI,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,0,0.00%,5,0.01%,6,0.00%
23,Citroen,Berlingo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,92,0.30%,30,0.05%,122,0.08%
24,Citroen,C4,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,223,0.90%,207,0.67%,187,0.30%,617,0.42%
25,Citroen,C-Zero,0,0.00%,11,0.70%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,11,0.01%
26,Citroen,ë-C4 X,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,198,0.32%,198,0.13%
27,Citroen,e-SpaceTourer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,5,0.02%,43,0.07%,48,0.03%
28,Citroen,Jumpy,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,3,0.01%,4,0.01%,7,0.01%,14,0.01%
29,Citroen,Pössl,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,1,0.00%,1,0.00%
30,Comarth,Cross Rider,0,0.00%,0,0.00%,38,0.88%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,0,0.00%,38,0.03%
