"Udlæst fra bilstatistik.dk, af Henrik Sejersen, DBI IT A/S, den 25-01-2024 09:15:22",,,,,
Data i denne fil tilhører DBI IT A/S og er udelukkende til brug for Valther Vittrup <rjt675@alumni.ku.dk>,,,,,
Ved anvendelse af data skal der kildehenvises til www.bilstatistik.dk. Nedenstående udsalgspriser må under ingen omstændigheder offentliggøres med undtagelse i den pågældende rapport. ,,,,,
Elbiler rækkevidde,,,,,
Nyregistreringer,,,,,
Periode: Fra 01-01-2013 til 31-12-2023,,,,,
Hele landet,,,,,
Personbiler,,,,,
Drivkraft: El (BEV),,,,,
Tallenen nedenfor er gennemsnitstal på baggrund af samltige modeller opmålt inden for ovenstående periode. ,,,,,
Nr.,Mærke,Model,Elektrisk rækkevidde (NEDC),Elektrisk rækkevidde (WLTP),Udsalgspris
,Total for rapport,,278.21,466.65,"431,263.39"
1,Aiways,U5,399.11,400.23,"330,825.79"
2,Aiways,U6,0.00,405.00,"375,710.00"
3,Audi,e-tron,0.00,375.78,"714,953.03"
4,Audi,e-tron GT,0.00,472.15,"1,081,416.34"
5,Audi,Q4 e-tron,0.00,496.95,"454,724.63"
6,Audi,Q8 e-tron,0.00,518.39,"798,198.29"
7,Bach,Tria,0.00,63.00,0.00
8,Bach,YM2000DP,0.00,63.00,0.00
9,BAW,Pony,0.00,120.00,0.00
10,BMW,I3,263.07,295.86,"298,263.71"
11,BMW,i4,0.00,516.67,"574,252.06"
12,BMW,i5,0.00,560.28,"680,432.43"
13,BMW,I7,0.00,601.24,"1,715,594.41"
14,BMW,iX,0.00,443.45,"846,757.99"
15,BMW,iX1,0.00,431.44,"496,300.50"
16,BMW,iX3,0.00,457.48,"567,019.18"
17,BYD,Atto 3,0.00,420.00,"326,406.29"
18,BYD,Dolphin,0.00,427.00,"246,404.60"
19,BYD,Han,0.00,521.00,"534,218.00"
20,BYD,Seal,0.00,540.31,"358,866.66"
21,BYD,Tang,0.00,400.00,"566,242.00"
22,Citroen,AMI,75.00,75.00,0.00
23,Citroen,Berlingo,0.00,273.88,"298,772.36"
24,Citroen,C4,0.00,350.01,"287,164.26"
25,Citroen,C-Zero,150.00,0.00,0.00
26,Citroen,ë-C4 X,0.00,354.61,"287,413.56"
27,Citroen,e-SpaceTourer,0.00,312.42,"425,687.68"
28,Citroen,Jumpy,0.00,291.86,"431,568.20"
29,Citroen,Pössl,0.00,377.00,0.00
30,Comarth,Cross Rider,0.00,0.00,0.00
31,Cupra,Born,0.00,460.09,"315,869.44"
32,Dacia,Spring,0.00,229.97,"143,848.98"
33,Devinci,Classic,0.00,0.00,0.00
34,DFSK,Seres 3,0.00,301.00,0.00
35,DS,3 Crossback,0.00,318.36,"286,682.09"
36,Eagle,,0.00,0.00,0.00
37,Eagle,EG2028HR-01,0.00,0.00,0.00
38,Eagle,EG2028KSZR-02,0.00,0.00,0.00
39,Eagle,EG2040HCXR,0.00,0.00,0.00
40,Eagle,EG2048,0.00,0.00,0.00
41,Eagle,EG2048HCXR-02,0.00,0.00,0.00
42,Eagle,EG204AHCXR,87.00,0.00,0.00
43,Eagle,Electric Golf Car,0.00,0.00,0.00
44,Eagle,El-golfbil,0.00,0.00,0.00
45,Eagle,European Business Car,0.00,0.00,0.00
46,Eagle,Golf Car,0.00,0.00,0.00
47,Fiat,500,0.00,312.31,"260,281.55"
48,Fisker,Karma,206.00,0.00,0.00
49,Fisker,Ocean,0.00,700.35,"610,788.23"
50,Ford,Mustang Mach-E,0.00,539.87,"510,076.95"
51,Fulu,,0.00,0.00,0.00
52,Garia,D22,142.40,0.00,0.00
53,Garia,G21,49.54,0.00,0.00
54,Garia,G22,49.42,0.00,0.00
55,Garia,Monaco,44.73,0.00,0.00
56,Garia,Monaco 2+2,0.00,0.00,0.00
57,Garia,Roadster,0.00,0.00,0.00
58,Goes,ATV,0.00,0.00,0.00
59,Goes,e-Ruf,0.00,0.00,0.00
60,Gumpert Aiways,U5,273.40,0.00,0.00
61,HDK,NRG Car,70.00,0.00,0.00
62,Hecht,59399,60.00,60.00,0.00
63,Hisun,HS,0.00,75.00,0.00
64,Honda,E,210.00,211.07,"299,366.52"
65,Honda,e:Ny1,0.00,412.00,"351,793.91"
66,Hongqi,E-HS9,0.00,460.07,"723,688.32"
67,Hyundai,Ioniq,280.00,310.94,"267,967.29"
68,Hyundai,Ioniq 5,0.00,474.73,"395,394.17"
69,Hyundai,Ioniq 6,0.00,567.37,"452,979.84"
70,Hyundai,Kona,0.00,460.79,"311,065.28"
71,Italcar,C2C,111.40,111.40,0.00
72,Italcar,L4S,0.00,0.00,0.00
73,JAC,e-JS4,0.00,443.53,"335,917.05"
74,Jaguar,I-Pace,0.00,448.40,"636,119.03"
75,Jeep,Avenger,0.00,395.15,"318,846.63"
