ID,Manufacturer,Model,Range,Price,HP,Fast charge (min),Type,Segment,Country,Count,Share,Percentage
1,Aiways,U5,400,330825.789473684,201,34,SUV,C,CH,617,0.00416416389393193,0.42%
2,Aiways,U6,405,375710,214,34,SUV,C,CH,3,2.02471502136074E-05,0.0%
3,Audi,e-tron,375,714953.030166881,402,17,SUV,F,DE,1579,0.0106567500624287,1.07%
4,Audi,e-tron GT,472,1081416.34131737,522,17,Sedan,F,DE,171,0.00115408756217562,0.12%
5,Audi,Q4 e-tron,496,454724.626721517,281,28,SUV,C,DE,5646,0.0381051367020092,3.81%
6,Audi,Q8 e-tron,518,798198.285077951,335,27,SUV,E,DE,449,0.00303032348196991,0.3%
10,BMW,I3,295,298263.712149533,167,18,Hatchback,B,DE,1640,0.0110684421167721,1.11%
11,BMW,i4,516,574252.055008945,281,31,Sedan,D,DE,2254,0.0152123588604904,1.52%
12,BMW,i5,560,680432.42506812,335,28,Sedan,E,DE,367,0.00247690137613131,0.25%
13,BMW,I7,601,1715594.40816327,449,28,Sedan,F,DE,49,0.000330703453488921,0.03%
14,BMW,iX,443,846757.989361702,610,31,SUV,E,DE,851,0.00574344161059331,0.57%
15,BMW,iX1,431,496300.501002004,201,29,SUV,C,DE,998,0.00673555197106007,0.67%
16,BMW,iX3,457,567019.182847192,281,31,SUV,D,DE,2330,0.0157252866659018,1.57%
17,BYD,Atto 3,420,326406.293233083,201,37,SUV,C,CH,271,0.00182899256929587,0.18%
18,BYD,Dolphin,427,246404.596059113,93,40,Hatchback,C,CH,203,0.0013700571644541,0.14%
19,BYD,Han,521,534218,509,44,Sedan,E,CH,4,2.69962002848099E-05,0.0%
20,BYD,Seal,540,358866.65625,522,38,Sedan,D,CH,32,0.000215969602278479,0.02%
21,BYD,Tang,400,566242,509,45,SUV,E,CH,10,6.74905007120248E-05,0.01%
23,Citroen,Berlingo,273,298772.355932203,134,26,MPV,M,FR,122,0.000823384108686702,0.08%
24,Citroen,C4,350,287164.259696459,134,26,Hatchback,C,FR,617,0.00416416389393193,0.42%
26,Citroen,ë-C4 X,354,287413.560606061,134,26,Sedan,C,FR,198,0.00133631191409809,0.13%
27,Citroen,e-SpaceTourer,312,425687.675675676,134,26,MPV,M,FR,48,0.000323954403417719,0.03%
