"ID","Manufacturer","Model","Range","Price","HP","Fast charge (min)","Type","Segment","Region","Antal","Andel"
"1","Aiways","U5","400","330825.78947368","201","34","SUV","C","CH","617","0.42%"
"2","Aiways","U6","405","375710","214","34","SUV","C","CH","3","0.0%"
"3","Audi","e-tron","375","714953.03016688","402","17","SUV","F","DE","1579","1.07%"
"4","Audi","e-tron GT","472","1081416.3413174","522","17","Sedan","F","DE","171","0.12%"
"5","Audi","Q4 e-tron","496","454724.62672152","281","28","SUV","C","DE","5646","3.81%"
"6","Audi","Q8 e-tron","518","798198.28507795","335","27","SUV","E","DE","449","0.3%"
"10","BMW","I3","295","298263.71214953","167","18","Hatchback","B","DE","1640","1.11%"
"11","BMW","i4","516","574252.05500894","281","31","Sedan","D","DE","2254","1.52%"
"12","BMW","i5","560","680432.42506812","335","28","Sedan","E","DE","367","0.25%"
"13","BMW","I7","601","1715594.4081633","449","28","Sedan","F","DE","49","0.03%"
"14","BMW","iX","443","846757.9893617","610","31","SUV","E","DE","851","0.57%"
"15","BMW","iX1","431","496300.501002","201","29","SUV","C","DE","998","0.67%"
"16","BMW","iX3","457","567019.18284719","281","31","SUV","D","DE","2330","1.57%"
"17","BYD","Atto 3","420","326406.29323308","201","37","SUV","C","CH","271","0.18%"
"18","BYD","Dolphin","427","246404.59605911","93","40","Hatchback","C","CH","203","0.14%"
"19","BYD","Han","521","534218","509","44","Sedan","E","CH","4","0.0%"
"20","BYD","Seal","540","358866.65625","522","38","Sedan","D","CH","32","0.02%"
"21","BYD","Tang","400","566242","509","45","SUV","E","CH","10","0.01%"
"23","Citroen","Berlingo","273","298772.3559322","134","26","MPV","M","FR","122","0.08%"
"24","Citroen","C4","350","287164.25969646","134","26","Hatchback","C","FR","617","0.42%"
"26","Citroen","ë-C4 X","354","287413.56060606","134","26","Sedan","C","FR","198","0.13%"
"27","Citroen","e-SpaceTourer","312","425687.67567568","134","26","MPV","M","FR","48","0.03%"
"28","Citroen","Jumpy","291","431568.2","134","26","MPV","M","FR","14","0.01%"
"31","Cupra","Born","460","315869.44038668","201","31","Hatchback","C","SP","2810","1.9%"
"32","Dacia","Spring","229","143848.98377282","44","38","Hatchback","A","RO","496","0.33%"
"35","DS","3 Crossback","318","286682.09411765","154","26","SUV","B","FR","85","0.06%"
"47","Fiat","500","312","260281.54890865","93","24","Hatchback","B","IT","1276","0.86%"
"49","Fisker","Ocean","700","610788.22916667","563","35","SUV","D","DK","290","0.2%"
"50","Ford","Mustang Mach-E","539","510076.94913841","345","47","SUV","D","US","3652","2.46%"
"64","Honda","E","211","299366.52252252","151","36","Hatchback","B","JP","113","0.08%"
"65","Honda","e:Ny1","412","351793.91304348","201","46","SUV","B","JP","46","0.03%"
"66","Hongqi","E-HS9","460","723688.32142857","543","45","SUV","F","CH","56","0.04%"
"67","Hyundai","Ioniq","310","267967.28536585","118","19","Sedan","C","KR","831","0.56%"
"68","Hyundai","Ioniq 5","474","395394.16706349","167","17","SUV","C","KR","2560","1.73%"
"69","Hyundai","Ioniq 6","567","452979.84343434","320","16","Sedan","D","KR","198","0.13%"
"70","Hyundai","Kona","460","311065.28464504","214","41","SUV","B","KR","4532","3.06%"
"73","JAC","e-JS4","443","335917.04761905","190","35","SUV","J","CH","85","0.06%"
"74","Jaguar","I-Pace","448","636119.02996255","394","44","SUV","E","GB","292","0.2%"
"75","Jeep","Avenger","395","318846.62962963","154","26","SUV","B","US","81","0.05%"
"82","Kia","EV6","512","415040.8697231","320","16","SUV","C","KR","2240","1.51%"
"83","Kia","EV9","514","685087.35483871","379","24","SUV","F","KR","93","0.06%"
"84","Kia","Niro","453","344947.78423367","201","41","SUV","C","KR","3272","2.21%"
"85","Kia","Soul","450","320645.87203791","201","44","SUV","B","KR","244","0.16%"
"86","Lexus","RZ","424","600291.71428571","308","28","SUV","D","JP","14","0.01%"
"87","Lexus","UX","310","385073.1","201","81","SUV","C","JP","21","0.01%"
"98","Maxus","Euniq","260","356665.33333333","174","45","MPV","M","CH","121","0.08%"
"99","Maxus","Euniq5","289","372098.79166667","174","45","MPV","M","CH","48","0.03%"
"100","Maxus","Euniq6","354","379506.75925926","174","45","MPV","M","CH","327","0.22%"
"101","Maxus","MIFA 9","565","518176","241","46","MPV","M","CH","2","0.0%"
"102","Maxus","Mifa9","430","615632","241","46","MPV","M","CH","1","0.0%"
"103","Mazda","MX-30","200","261052.17654028","143","33","SUV","C","JP","846","0.57%"
"106","Mercedes-Benz","B-Klasse","0","398328","177","120","MPV","C","DE","41","0.03%"
